State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.51341	3.41262	3.26382	3.08623	3.11023	3.21103	3.25422	3.12943	2.88944	2.62546	2.30868	2.32307	2.27988	2.32787	2.41427	2.53426	2.46707	2.35667	2.47667	2.66386	2.67346
2	4.60645	4.62726	4.55095	4.39139	4.25264	4.03064	3.85721	3.71152	3.44096	3.22590	3.02472	2.86515	3.10103	3.14959	3.17040	3.03165	3.07328	3.09409	3.00390	3.02472	3.17734
3	2.98651	2.92159	2.88263	2.86316	2.88913	2.88263	2.79174	2.79174	2.99950	3.07741	3.18128	3.03196	2.66838	2.32429	2.49309	2.50607	2.47361	2.61644	2.43466	2.35675	2.29832
4	1.17074	1.14359	1.16735	1.22164	1.16395	1.27933	1.31326	1.32344	1.45918	1.46597	1.40828	1.36077	1.34380	1.27933	1.28272	1.25558	1.28612	1.32684	1.33702	1.28612	1.29290
5	1.38157	1.39132	1.40803	1.44981	1.43867	1.40385	1.56819	1.61555	1.60162	1.63504	1.64758	1.65733	1.57237	1.58630	1.51249	1.51249	1.52363	1.46792	1.47210	1.49159	1.46374
6	3.40240	3.40357	3.40298	3.38015	3.37196	3.34327	3.30112	3.27478	3.22385	3.14248	3.07691	2.98383	2.91592	2.81230	2.68586	2.59570	2.49560	2.39725	2.31763	2.25968	2.19353
7	3.08907	3.08907	3.03945	3.06426	3.05186	3.01464	2.80374	2.59284	2.28269	2.00976	1.61277	1.37706	1.26540	1.19097	1.10413	1.06691	1.01729	1.07932	1.01729	0.94285	0.85601
8	0.38577	0.38733	0.38822	0.38844	0.38822	0.38866	0.39178	0.39512	0.40001	0.40358	0.40758	0.41048	0.41226	0.41426	0.41560	0.41404	0.41270	0.41137	0.41226	0.41382	0.41404
9	0.82562	0.82731	0.82869	0.83222	0.83585	0.83851	0.83656	0.83769	0.84204	0.85037	0.86071	0.87216	0.88372	0.89615	0.90745	0.91671	0.92623	0.93538	0.94300	0.94663	0.95292
10	1.15798	1.14876	1.15089	1.13954	1.12607	1.12678	1.13741	1.16223	1.18492	1.20620	1.21400	1.20762	1.19911	1.18209	1.18280	1.17145	1.16507	1.17642	1.17500	1.17358	1.17287
