State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.59678	4.11786	5.19817	6.55808	9.09150	12.54000	16.68328	21.16125	23.86413	30.26969	33.54450	22.38136	19.55138	17.48398	15.64958	13.26444	10.46412	8.16795	6.35473	4.88467	3.84673
2	4.64759	5.40076	6.49683	8.39505	11.34036	16.19615	23.75843	35.18452	49.18852	54.28312	57.95710	74.57575	73.40620	63.62728	47.51686	32.41066	21.84796	14.59184	10.26879	7.36634	5.29054
3	6.62449	7.71902	9.14019	10.77912	13.04841	15.37500	17.03112	16.76752	15.13432	9.52413	5.03140	5.28354	7.25485	13.87933	24.24585	30.46348	30.54943	27.55237	23.83899	20.48090	17.69013
4	1.61143	1.71027	1.59645	1.67732	1.73124	1.76718	1.82709	1.77018	1.51558	1.16814	0.93451	0.88060	0.78175	0.73083	0.74881	0.86861	0.94949	1.11422	1.22505	1.35983	1.28196
5	2.34915	2.37127	2.46962	2.53231	2.44872	2.26310	1.86727	1.54889	1.07070	0.86910	0.76830	0.72650	0.74986	0.84451	1.07807	1.78491	2.82119	3.65833	4.05169	4.17954	4.17831
6	0.74148	0.67431	0.60248	0.54151	0.48519	0.43972	0.40923	0.38960	0.37565	0.37875	0.38753	0.39787	0.40872	0.42215	0.43714	0.46246	0.53738	0.66966	0.84276	1.04117	1.23804
7	0.70080	0.70080	0.76651	0.78841	0.79936	0.85411	0.82126	0.76651	0.81031	0.79936	0.82126	0.85411	0.82126	0.74461	0.78841	0.84316	0.81031	0.87601	0.93076	0.88696	0.91981
8	0.28961	0.28745	0.28529	0.28352	0.28391	0.28195	0.27979	0.27762	0.27409	0.27212	0.27153	0.27035	0.27114	0.27409	0.27762	0.27861	0.28018	0.28195	0.28332	0.28411	0.28489
9	0.92322	0.90895	0.88412	0.84828	0.79284	0.72011	0.63618	0.54052	0.46328	0.42752	0.41443	0.41235	0.42888	0.45317	0.48495	0.53113	0.58224	0.63307	0.67871	0.71749	0.74945
10	2.47229	2.45289	2.43411	2.38654	2.32959	2.22318	2.05544	1.78881	1.52969	1.34943	1.25242	1.22613	1.31438	1.50027	1.69055	1.84577	1.98284	2.05607	2.09800	2.10739	2.10864
