State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.72437	39.99875	5.17939	1.09424	2.30892	33.54553	13.30946	0.50631
2	0.50117	69.09081	9.87948	1.75782	3.02503	57.95275	25.78779	0.22081
3	0.53552	1.33977	2.61742	1.78557	3.18162	5.03156	13.79744	0.27039
4	1.02457	0.19992	1.22280	1.44703	1.40843	0.93454	1.33501	0.38190
5	2.49643	0.15271	1.42030	1.58172	1.64775	0.76832	1.99025	0.41656
6	5.93911	0.17761	3.97372	2.25629	3.07664	0.38754	0.57307	0.24996
7	0.28025	1.71993	3.19158	0.54045	1.61294	0.82128	0.73844	0.22781
8	15.61902	0.21371	0.30173	0.64359	0.40762	0.27154	0.30746	1.74908
9	67.97650	0.29234	0.74901	0.94616	0.86069	0.41444	0.66827	0.94200
10	4.90305	2.11080	1.01445	0.81947	1.21412	1.25246	2.01320	1.02911
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
