State (Emission order)	H3k27me3	H3k09me3	H3k9me1	H3k36me3	H3k4me1	H3k4me2	H3k27ac	H3k9ac	H3k4me3	H2az
1	0.07795496236146782	0.0015796719378648432	0.0011480703047734714	4.6437591932979545E-4	0.2014780212387932	0.31477985284439863	0.014984639222028348	0.044092473962439274	0.20196325173855703	0.6885574484816309
2	0.002852338764002857	0.0017046474691127958	1.9529900261329472E-5	8.648562658101329E-4	0.049862857338798125	0.7124926587904359	0.645152034783413	0.941588034152217	0.9789836288216848	0.8025114842358303
3	0.0038774617000591413	0.0016652327250170733	0.010753732439517424	0.0578064431364038	0.9151027161622689	0.9993491682655482	0.6514484607870432	0.7188028376229932	0.9399931325612978	0.3643677976670799
4	9.758892635117249E-5	0.0017271499897824243	0.008152600663304607	0.03375257941194845	0.9708710975346719	0.7657142012742119	0.9141707821592086	0.47088471326600956	0.046347070176398546	0.3352617216851135
5	0.0011763637862691042	0.0017266157185398712	0.01301880792031354	0.04946130983967775	0.7313690481413941	0.20315560145579545	0.14915656867742763	0.011298379616622771	0.0034629772867428403	0.08683749420910905
6	7.582167925455487E-5	0.0010272338639371595	0.009038850501877567	0.25987780723204335	0.008928183601644614	0.0013818351654676377	0.013285228524421164	0.0013563250313981682	1.9666537307324084E-4	5.669051644687098E-4
7	0.1561514371471355	0.8286839871723458	0.08334871010873855	0.32090390149076986	0.022666495606463093	0.04314425877701807	0.021002982409908128	0.01687477295401973	0.09169356976683507	0.051503291143258294
8	4.78193080098126E-4	0.1100620670560398	4.529474885087412E-4	6.800322562106023E-4	1.289791254722912E-4	1.3975821880309985E-4	9.185294475057253E-4	5.7999104902434766E-5	2.253242902496004E-4	1.0171607166754637E-4
9	0.004517361494549076	0.0014922373200690947	0.0020221449112591884	0.0015954313829053281	8.836511723438606E-4	1.8650539978694433E-4	0.0015204808781254762	1.8805398308789097E-4	6.269985417287725E-5	0.0025834982546569744
10	0.3741279844324236	0.0013382445832511888	0.002638896422991452	3.8410126960361615E-4	0.0023672779784030735	9.076154666427823E-4	0.0013444545209142177	3.111436933131225E-4	1.0722715048983475E-4	0.0037196915850133184
